date,mugglenet
2016-01-01,0
2016-01-02,0
2016-01-03,22
2016-01-04,49
2016-01-05,0
2016-01-06,0
2016-01-07,0
2016-01-08,0
2016-01-09,26
2016-01-10,0
2016-01-11,18
2016-01-12,34
2016-01-13,56
2016-01-14,74
2016-01-15,38
2016-01-16,20
2016-01-17,0
2016-01-18,0
2016-01-19,24
2016-01-20,0
2016-01-21,19
2016-01-22,0
2016-01-23,85
2016-01-24,33
2016-01-25,28
2016-01-26,30
2016-01-27,45
2016-01-28,34
2016-01-29,47
2016-01-30,0
2016-01-31,50
2016-02-01,25
2016-02-02,25
2016-02-03,22
2016-02-04,0
2016-02-05,17
2016-02-06,32
2016-02-07,25
2016-02-08,16
2016-02-09,0
2016-02-10,0
2016-02-11,34
2016-02-12,25
2016-02-13,59
2016-02-14,0
2016-02-15,26
2016-02-16,24
2016-02-17,23
2016-02-18,0
2016-02-19,18
2016-02-20,30
2016-02-21,27
2016-02-22,43
2016-02-23,56
2016-02-24,50
2016-02-25,38
2016-02-26,0
2016-02-27,0
2016-02-28,49
2016-02-29,30
2016-03-01,0
2016-03-02,0
2016-03-03,16
2016-03-04,19
2016-03-05,19
2016-03-06,0
2016-03-07,33
2016-03-08,25
2016-03-09,18
2016-03-10,0
2016-03-11,66
2016-03-12,58
2016-03-13,0
2016-03-14,51
2016-03-15,44
2016-03-16,28
2016-03-17,0
2016-03-18,0
2016-03-19,34
2016-03-20,56
2016-03-21,0
2016-03-22,36
2016-03-23,23
2016-03-24,18
2016-03-25,0
2016-03-26,0
2016-03-27,74
2016-03-28,35
2016-03-29,70
2016-03-30,100
2016-03-31,57
2016-04-01,82
2016-04-02,25
2016-04-03,79
2016-04-04,42
2016-04-05,0
2016-04-06,0
2016-04-07,0
2016-04-08,78
2016-04-09,0
2016-04-10,73
2016-04-11,39
2016-04-12,0
2016-04-13,49
2016-04-14,26
2016-04-15,17
2016-04-16,20
2016-04-17,58
2016-04-18,0
2016-04-19,0
2016-04-20,46
2016-04-21,40
2016-04-22,66
2016-04-23,0
2016-04-24,27
2016-04-25,38
2016-04-26,52
2016-04-27,0
2016-04-28,0
2016-04-29,35
2016-04-30,0
2016-05-01,47
2016-05-02,0
2016-05-03,0
2016-05-04,0
2016-05-05,39
2016-05-06,23
2016-05-07,0
2016-05-08,34
2016-05-09,0
2016-05-10,0
2016-05-11,0
2016-05-12,0
2016-05-13,18
2016-05-14,23
2016-05-15,21
2016-05-16,23
2016-05-17,0
2016-05-18,0
2016-05-19,0
2016-05-20,0
2016-05-21,50
2016-05-22,19
2016-05-23,19
2016-05-24,22
2016-05-25,40
2016-05-26,0
2016-05-27,28
2016-05-28,0
2016-05-29,87
2016-05-30,0
2016-05-31,31
2016-06-01,0
2016-06-02,0
2016-06-03,28
2016-06-04,31
2016-06-05,0
2016-06-06,34
2016-06-07,0
2016-06-08,43
2016-06-09,22
2016-06-10,0
2016-06-11,85
2016-06-12,28
2016-06-13,27
2016-06-14,52
2016-06-15,36
2016-06-16,0
