date,pottermore
2016-01-01,10
2016-01-02,11
2016-01-03,10
2016-01-04,8
2016-01-05,8
2016-01-06,8
2016-01-07,7
2016-01-08,7
2016-01-09,10
2016-01-10,10
2016-01-11,6
2016-01-12,7
2016-01-13,7
2016-01-14,10
2016-01-15,10
2016-01-16,11
2016-01-17,10
2016-01-18,8
2016-01-19,8
2016-01-20,8
2016-01-21,8
2016-01-22,9
2016-01-23,9
2016-01-24,10
2016-01-25,8
2016-01-26,7
2016-01-27,7
2016-01-28,44
2016-01-29,43
2016-01-30,100
2016-01-31,85
2016-02-01,51
2016-02-02,37
2016-02-03,26
2016-02-04,23
2016-02-05,21
2016-02-06,21
2016-02-07,19
2016-02-08,15
2016-02-09,14
2016-02-10,20
2016-02-11,23
2016-02-12,17
2016-02-13,17
2016-02-14,15
2016-02-15,12
2016-02-16,12
2016-02-17,12
2016-02-18,11
2016-02-19,12
2016-02-20,15
2016-02-21,14
2016-02-22,11
2016-02-23,11
2016-02-24,10
2016-02-25,9
2016-02-26,10
2016-02-27,10
2016-02-28,12
2016-02-29,8
2016-03-01,9
2016-03-02,10
2016-03-03,9
2016-03-04,10
2016-03-05,12
2016-03-06,13
2016-03-07,17
2016-03-08,28
2016-03-09,27
2016-03-10,20
2016-03-11,17
2016-03-12,17
2016-03-13,16
2016-03-14,11
2016-03-15,11
2016-03-16,10
2016-03-17,8
2016-03-18,10
2016-03-19,11
2016-03-20,11
2016-03-21,9
2016-03-22,11
2016-03-23,11
2016-03-24,10
2016-03-25,12
2016-03-26,12
2016-03-27,14
2016-03-28,12
2016-03-29,11
2016-03-30,11
2016-03-31,10
2016-04-01,11
2016-04-02,12
2016-04-03,11
2016-04-04,9
2016-04-05,11
2016-04-06,11
2016-04-07,10
2016-04-08,13
2016-04-09,13
2016-04-10,13
2016-04-11,13
2016-04-12,12
2016-04-13,10
2016-04-14,10
2016-04-15,11
2016-04-16,13
2016-04-17,11
2016-04-18,9
2016-04-19,9
2016-04-20,9
2016-04-21,9
2016-04-22,9
2016-04-23,9
2016-04-24,11
2016-04-25,9
2016-04-26,9
2016-04-27,8
2016-04-28,9
2016-04-29,8
2016-04-30,11
2016-05-01,12
2016-05-02,10
2016-05-03,8
2016-05-04,8
2016-05-05,9
2016-05-06,9
2016-05-07,10
2016-05-08,9
2016-05-09,9
2016-05-10,8
2016-05-11,10
2016-05-12,10
2016-05-13,10
2016-05-14,12
2016-05-15,12
2016-05-16,9
2016-05-17,8
2016-05-18,8
2016-05-19,9
2016-05-20,10
2016-05-21,13
2016-05-22,16
2016-05-23,13
2016-05-24,11
2016-05-25,10
2016-05-26,10
2016-05-27,10
2016-05-28,11
2016-05-29,12
2016-05-30,11
2016-05-31,13
2016-06-01,14
2016-06-02,18
2016-06-03,20
2016-06-04,25
2016-06-05,21
2016-06-06,16
2016-06-07,13
2016-06-08,13
2016-06-09,13
2016-06-10,27
2016-06-11,37
2016-06-12,29
2016-06-13,15
2016-06-14,13
2016-06-15,11
2016-06-16,11
2016-06-17,12
2016-06-18,11
2016-06-19,12
2016-06-20,10
2016-06-21,10
2016-06-22,10
2016-06-23,10
2016-06-24,11
2016-06-25,13
2016-06-26,12
2016-06-27,11
2016-06-28,53
2016-06-29,96
2016-06-30,63
2016-07-01,13
2016-07-02,11
2016-07-03,10
2016-07-04,8
2016-07-05,7
2016-07-06,7
2016-07-07,6
