date,wizardingworld
2016/1/1,16
2016/1/2,24
2016/1/3,19
2016/1/4,14
2016/1/5,14
2016/1/6,15
2016/1/7,17
2016/1/8,18
2016/1/9,16
2016/1/10,14
2016/1/11,15
2016/1/12,9
2016/1/13,12
2016/1/14,15
2016/1/15,27
2016/1/16,22
2016/1/17,14
2016/1/18,16
2016/1/19,21
2016/1/20,15
2016/1/21,19
2016/1/22,21
2016/1/23,15
2016/1/24,18
2016/1/25,15
2016/1/26,9
2016/1/27,11
2016/1/28,13
2016/1/29,12
2016/1/30,21
2016/1/31,21
2016/2/1,21
2016/2/2,11
2016/2/3,8
2016/2/4,17
2016/2/5,13
2016/2/6,17
2016/2/7,13
2016/2/8,9
2016/2/9,18
2016/2/10,22
2016/2/11,23
2016/2/12,19
2016/2/13,16
2016/2/14,18
2016/2/15,21
2016/2/16,17
2016/2/17,20
2016/2/18,15
2016/2/19,15
2016/2/20,22
2016/2/21,23
2016/2/22,17
2016/2/23,17
2016/2/24,17
2016/2/25,12
2016/2/26,19
2016/2/27,17
2016/2/28,23
2016/2/29,20
2016/3/1,21
2016/3/2,18
2016/3/3,15
2016/3/4,18
2016/3/5,27
2016/3/6,29
2016/3/7,25
2016/3/8,22
2016/3/9,23
2016/3/10,21
2016/3/11,20
2016/3/12,21
2016/3/13,22
2016/3/14,19
2016/3/15,17
2016/3/16,17
2016/3/17,16
2016/3/18,14
2016/3/19,17
2016/3/20,24
2016/3/21,19
2016/3/22,21
2016/3/23,22
2016/3/24,16
2016/3/25,24
2016/3/26,16
2016/3/27,26
2016/3/28,26
2016/3/29,29
2016/3/30,30
2016/3/31,29
2016/4/1,27
2016/4/2,27
2016/4/3,20
2016/4/4,25
2016/4/5,27
2016/4/6,72
2016/4/7,100
2016/4/8,83
2016/4/9,74
2016/4/10,64
2016/4/11,58
2016/4/12,46
2016/4/13,37
2016/4/14,27
2016/4/15,30
2016/4/16,26
2016/4/17,26
2016/4/18,24
2016/4/19,26
2016/4/20,18
2016/4/21,21
2016/4/22,18
2016/4/23,24
2016/4/24,21
