date,harrypotterwiki,hogwartsishere,jkrowling,harrypotterlexicon,mugglenet,pottermore,wizardingworld
2016-01-01,0,0,0,0,0,10,16
2016-01-02,0,0,0,25,0,11,24
2016-01-03,0,0,0,32,22,10,19
2016-01-04,0,0,0,0,49,8,14
2016-01-05,22,0,0,0,0,8,14
2016-01-06,0,58,0,27,0,8,15
2016-01-07,0,0,0,0,0,7,17
2016-01-08,0,57,0,0,0,7,18
2016-01-09,0,37,0,0,26,10,16
2016-01-10,43,0,0,0,0,10,14
2016-01-11,0,0,0,0,18,6,15
2016-01-12,0,0,0,0,34,7,9
2016-01-13,0,43,0,0,56,7,12
2016-01-14,0,20,0,0,74,10,15
2016-01-15,0,36,0,54,38,10,27
2016-01-16,0,0,0,0,20,11,22
2016-01-17,0,0,0,0,0,10,14
2016-01-18,0,58,0,0,0,8,16
2016-01-19,34,0,0,0,24,8,21
2016-01-20,47,54,22,0,0,8,15
2016-01-21,0,0,25,0,19,8,19
2016-01-22,0,0,0,0,0,9,21
2016-01-23,0,46,0,36,85,9,15
2016-01-24,34,0,0,0,33,10,18
2016-01-25,22,31,0,0,28,8,15
2016-01-26,0,23,0,31,30,7,9
2016-01-27,0,28,77,0,45,7,11
2016-01-28,100,0,0,18,34,44,13
2016-01-29,31,0,48,0,47,43,12
2016-01-30,0,37,0,0,0,100,21
2016-01-31,38,0,0,0,50,85,21
2016-02-01,0,0,41,0,25,51,21
2016-02-02,0,0,0,43,25,37,11
2016-02-03,0,44,52,23,22,26,8
2016-02-04,0,0,0,30,0,23,17
2016-02-05,0,0,0,0,17,21,13
2016-02-06,0,59,0,45,32,21,17
2016-02-07,0,0,0,0,25,19,13
2016-02-08,0,0,0,46,16,15,9
2016-02-09,0,0,0,0,0,14,18
2016-02-10,0,27,0,0,0,20,22
2016-02-11,36,0,0,0,34,23,23
2016-02-12,0,60,0,0,25,17,19
2016-02-13,0,0,0,25,59,17,16
2016-02-14,0,0,60,0,0,15,18
2016-02-15,0,24,0,0,26,12,21
2016-02-16,21,20,0,18,24,12,17
2016-02-17,0,0,0,0,23,12,20
2016-02-18,0,21,33,23,0,11,15
2016-02-19,0,0,0,66,18,12,15
2016-02-20,0,38,38,0,30,15,22
2016-02-21,47,0,0,0,27,14,23
2016-02-22,23,0,0,0,43,11,17
2016-02-23,0,0,34,0,56,11,17
2016-02-24,0,0,0,0,50,10,17
2016-02-25,0,0,0,0,38,9,12
2016-02-26,0,0,0,0,0,10,19
2016-02-27,0,0,40,0,0,10,17
2016-02-28,37,0,0,0,49,12,23
2016-02-29,0,0,23,0,30,8,20
2016-03-01,0,0,0,0,0,9,21
2016-03-02,46,18,0,0,0,10,18
2016-03-03,0,0,0,20,16,9,15
2016-03-04,0,0,0,0,19,10,18
2016-03-05,0,0,45,30,19,12,27
2016-03-06,0,0,0,0,0,13,29
2016-03-07,0,20,72,0,33,17,25
2016-03-08,23,0,0,100,25,28,22
2016-03-09,0,0,0,0,18,27,23
2016-03-10,0,0,41,0,0,20,21
2016-03-11,0,0,23,0,66,17,20
2016-03-12,0,0,0,0,58,17,21
2016-03-13,0,0,0,30,0,16,22
2016-03-14,0,32,0,23,51,11,19
