Day,harry potter: (Worldwide)
2016-07-01,51
2016-07-02,54
2016-07-03,52
2016-07-04,47
2016-07-05,52
2016-07-06,55
2016-07-07,51
2016-07-08,48
2016-07-09,52
2016-07-10,51
2016-07-11,55
2016-07-12,48
2016-07-13,49
2016-07-14,49
2016-07-15,49
2016-07-16,48
2016-07-17,56
2016-07-18,52
2016-07-19,53
2016-07-20,47
2016-07-21,47
2016-07-22,51
2016-07-23,52
2016-07-24,54
2016-07-25,52
2016-07-26,53
2016-07-27,51
2016-07-28,49
2016-07-29,52
2016-07-30,56
2016-07-31,80
2016-08-01,80
2016-08-02,70
2016-08-03,62
2016-08-04,62
2016-08-05,62
2016-08-06,55
2016-08-07,66
2016-08-08,62
2016-08-09,55
2016-08-10,61
2016-08-11,55
2016-08-12,51
2016-08-13,54
2016-08-14,59
2016-08-15,61
2016-08-16,61
2016-08-17,55
2016-08-18,48
2016-08-19,53
2016-08-20,56
2016-08-21,64
2016-08-22,66
2016-08-23,61
2016-08-24,52
2016-08-25,52
2016-08-26,53
2016-08-27,56
2016-08-28,64
2016-08-29,61
2016-08-30,59
2016-08-31,54
2016-09-01,53
2016-09-02,55
2016-09-03,62
2016-09-04,64
2016-09-05,56
2016-09-06,53
2016-09-07,56
2016-09-08,50
2016-09-09,50
2016-09-10,60
2016-09-11,58
2016-09-12,51
2016-09-13,49
2016-09-14,49
2016-09-15,48
2016-09-16,49
2016-09-17,54
2016-09-18,60
2016-09-19,50
2016-09-20,50
2016-09-21,47
2016-09-22,52
2016-09-23,52
2016-09-24,59
2016-09-25,57
2016-09-26,49
2016-09-27,50
2016-09-28,50
2016-09-29,51
2016-09-30,51
2016-10-01,54
2016-10-02,63
2016-10-03,54
2016-10-04,52
2016-10-05,52
2016-10-06,49
2016-10-07,52
2016-10-08,60
2016-10-09,63
2016-10-10,53
2016-10-11,52
2016-10-12,53
2016-10-13,52
2016-10-14,58
2016-10-15,64
2016-10-16,66
2016-10-17,65
2016-10-18,60
2016-10-19,61
2016-10-20,54
2016-10-21,59
2016-10-22,66
2016-10-23,70
2016-10-24,54
2016-10-25,61
2016-10-26,56
2016-10-27,59
2016-10-28,62
2016-10-29,68
2016-10-30,69
2016-10-31,66
2016-11-01,69
2016-11-02,62
2016-11-03,60
2016-11-04,61
2016-11-05,65
2016-11-06,74
2016-11-07,63
2016-11-08,62
2016-11-09,55
2016-11-10,62
2016-11-11,66
2016-11-12,76
2016-11-13,76
2016-11-14,74
2016-11-15,73
2016-11-16,71
2016-11-17,77
2016-11-18,77
2016-11-19,96
2016-11-20,100
2016-11-21,88
2016-11-22,87
2016-11-23,81
2016-11-24,80
2016-11-25,77
2016-11-26,85
2016-11-27,92
2016-11-28,72
2016-11-29,78
2016-11-30,71
2016-12-01,70
2016-12-02,68
2016-12-03,68
2016-12-04,79
2016-12-05,71
2016-12-06,64
2016-12-07,63
2016-12-08,58
2016-12-09,63
2016-12-10,72
2016-12-11,73
2016-12-12,65
2016-12-13,63
2016-12-14,61
2016-12-15,54
2016-12-16,53
2016-12-17,65
2016-12-18,63
2016-12-19,59
2016-12-20,59
2016-12-21,60
2016-12-22,62
2016-12-23,61
2016-12-24,51
2016-12-25,59
2016-12-26,67
2016-12-27,68
2016-12-28,62
2016-12-29,66
2016-12-30,66
2016-12-31,62
