Day,wizarding world: (Worldwide)
2019-01-01,54
2019-01-02,38
2019-01-03,39
2019-01-04,44
2019-01-05,40
2019-01-06,37
2019-01-07,31
2019-01-08,28
2019-01-09,29
2019-01-10,24
2019-01-11,25
2019-01-12,32
2019-01-13,42
2019-01-14,22
2019-01-15,26
2019-01-16,18
2019-01-17,30
2019-01-18,22
2019-01-19,33
2019-01-20,38
2019-01-21,19
2019-01-22,21
2019-01-23,25
2019-01-24,24
2019-01-25,26
2019-01-26,22
2019-01-27,30
2019-01-28,25
2019-01-29,23
2019-01-30,33
2019-01-31,24
2019-02-01,29
2019-02-02,37
2019-02-03,39
2019-02-04,22
2019-02-05,30
2019-02-06,30
2019-02-07,23
2019-02-08,26
2019-02-09,30
2019-02-10,31
2019-02-11,25
2019-02-12,22
2019-02-13,16
2019-02-14,26
2019-02-15,27
2019-02-16,23
2019-02-17,34
2019-02-18,34
2019-02-19,23
2019-02-20,29
2019-02-21,37
2019-02-22,34
2019-02-23,39
2019-02-24,33
2019-02-25,29
2019-02-26,19
2019-02-27,24
2019-02-28,22
2019-03-01,19
2019-03-02,24
2019-03-03,31
2019-03-04,27
2019-03-05,33
2019-03-06,26
2019-03-07,31
2019-03-08,31
2019-03-09,33
2019-03-10,28
2019-03-11,34
2019-03-12,27
2019-03-13,29
2019-03-14,19
2019-03-15,25
2019-03-16,33
2019-03-17,29
2019-03-18,33
2019-03-19,27
2019-03-20,24
2019-03-21,36
2019-03-22,20
2019-03-23,34
2019-03-24,29
2019-03-25,51
2019-03-26,48
2019-03-27,35
2019-03-28,25
2019-03-29,21
2019-03-30,17
2019-03-31,30
2019-04-01,24
2019-04-02,24
2019-04-03,23
2019-04-04,23
2019-04-05,25
2019-04-06,20
2019-04-07,25
2019-04-08,18
2019-04-09,17
2019-04-10,19
2019-04-11,24
2019-04-12,12
2019-04-13,36
2019-04-14,27
2019-04-15,24
2019-04-16,30
2019-04-17,23
2019-04-18,17
2019-04-19,25
2019-04-20,31
2019-04-21,31
2019-04-22,30
2019-04-23,31
2019-04-24,47
2019-04-25,25
2019-04-26,23
2019-04-27,25
2019-04-28,26
2019-04-29,18
2019-04-30,17
2019-05-01,23
2019-05-02,29
2019-05-03,15
2019-05-04,24
2019-05-05,30
2019-05-06,19
2019-05-07,23
2019-05-08,34
2019-05-09,30
2019-05-10,24
2019-05-11,32
2019-05-12,31
2019-05-13,26
2019-05-14,30
2019-05-15,26
2019-05-16,46
2019-05-17,93
2019-05-18,100
2019-05-19,69
2019-05-20,48
2019-05-21,41
2019-05-22,42
2019-05-23,38
2019-05-24,38
2019-05-25,25
2019-05-26,42
2019-05-27,36
2019-05-28,28
2019-05-29,25
2019-05-30,23
2019-05-31,45
2019-06-01,39
2019-06-02,40
2019-06-03,33
2019-06-04,33
2019-06-05,27
2019-06-06,24
2019-06-07,38
2019-06-08,34
2019-06-09,35
2019-06-10,30
2019-06-11,27
2019-06-12,39
2019-06-13,33
2019-06-14,32
2019-06-15,39
2019-06-16,39
2019-06-17,36
2019-06-18,37
2019-06-19,34
2019-06-20,47
2019-06-21,79
2019-06-22,62
2019-06-23,73
2019-06-24,55
2019-06-25,59
2019-06-26,45
2019-06-27,45
2019-06-28,43
2019-06-29,32
2019-06-30,53
