,date,searches
0,2017-01-01,94
1,2017-01-02,100
2,2017-01-03,85
3,2017-01-04,87
4,2017-01-05,87
5,2017-01-06,86
6,2017-01-07,91
7,2017-01-08,99
8,2017-01-09,92
9,2017-01-10,90
10,2017-01-11,88
11,2017-01-12,87
12,2017-01-13,87
13,2017-01-14,98
14,2017-01-15,93
15,2017-01-16,90
16,2017-01-17,83
17,2017-01-18,83
18,2017-01-19,76
19,2017-01-20,76
20,2017-01-21,81
21,2017-01-22,92
22,2017-01-23,81
23,2017-01-24,75
24,2017-01-25,67
25,2017-01-26,71
26,2017-01-27,78
27,2017-01-28,98
28,2017-01-29,90
29,2017-01-30,80
30,2017-01-31,66
31,2017-02-01,72
32,2017-02-02,69
33,2017-02-03,69
34,2017-02-04,83
35,2017-02-05,84
36,2017-02-06,77
37,2017-02-07,64
38,2017-02-08,68
39,2017-02-09,65
40,2017-02-10,68
41,2017-02-11,81
42,2017-02-12,75
43,2017-02-13,70
44,2017-02-14,64
45,2017-02-15,69
46,2017-02-16,67
47,2017-02-17,74
48,2017-02-18,79
49,2017-02-19,82
50,2017-02-20,66
51,2017-02-21,71
52,2017-02-22,66
53,2017-02-23,65
54,2017-02-24,73
55,2017-02-25,78
56,2017-02-26,77
57,2017-02-27,65
58,2017-02-28,66
59,2017-03-01,71
60,2017-03-02,80
61,2017-03-03,76
62,2017-03-04,81
63,2017-03-05,77
64,2017-03-06,68
65,2017-03-07,72
66,2017-03-08,70
67,2017-03-09,65
68,2017-03-10,67
69,2017-03-11,77
70,2017-03-12,74
71,2017-03-13,66
72,2017-03-14,69
73,2017-03-15,72
74,2017-03-16,62
75,2017-03-17,69
76,2017-03-18,76
77,2017-03-19,80
78,2017-03-20,66
79,2017-03-21,69
80,2017-03-22,78
81,2017-03-23,70
82,2017-03-24,65
83,2017-03-25,64
84,2017-03-26,79
85,2017-03-27,65
86,2017-03-28,65
87,2017-03-29,62
88,2017-03-30,64
89,2017-03-31,64
90,2017-04-01,73
91,2017-04-02,66
92,2017-04-03,58
93,2017-04-04,62
94,2017-04-05,62
95,2017-04-06,58
96,2017-04-07,65
97,2017-04-08,68
98,2017-04-09,69
99,2017-04-10,64
100,2017-04-11,63
101,2017-04-12,65
102,2017-04-13,65
103,2017-04-14,66
104,2017-04-15,69
105,2017-04-16,69
106,2017-04-17,66
107,2017-04-18,68
108,2017-04-19,63
109,2017-04-20,59
110,2017-04-21,61
111,2017-04-22,65
112,2017-04-23,67
113,2017-04-24,62
114,2017-04-25,61
115,2017-04-26,64
116,2017-04-27,67
117,2017-04-28,67
118,2017-04-29,68
119,2017-04-30,71
120,2017-05-01,73
121,2017-05-02,64
122,2017-05-03,61
123,2017-05-04,59
124,2017-05-05,64
125,2017-05-06,66
126,2017-05-07,74
127,2017-05-08,65
128,2017-05-09,63
129,2017-05-10,59
130,2017-05-11,64
131,2017-05-12,58
132,2017-05-13,62
133,2017-05-14,65
134,2017-05-15,58
135,2017-05-16,57
136,2017-05-17,55
137,2017-05-18,50
138,2017-05-19,59
139,2017-05-20,63
140,2017-05-21,67
141,2017-05-22,57
142,2017-05-23,58
143,2017-05-24,62
144,2017-05-25,61
145,2017-05-26,58
146,2017-05-27,66
147,2017-05-28,62
148,2017-05-29,64
149,2017-05-30,68
150,2017-05-31,63
151,2017-06-01,70
152,2017-06-02,63
153,2017-06-03,66
154,2017-06-04,82
155,2017-06-05,75
156,2017-06-06,71
157,2017-06-07,73
158,2017-06-08,65
159,2017-06-09,66
160,2017-06-10,69
